Date;Month;Year;Day;Hour;Grid;PV;Storage;C65B;C65
9/12/2014 0:00;12;2014;9;0;96.99374816;0.022809384;-1.600000024;0.106829892;0.146984189
9/12/2014 1:00;12;2014;9;1;96.00232658;0.021896036;-1.600000024;0.107860295;0.146861927
9/12/2014 2:00;12;2014;9;2;93.4110808;0.023370474;-1.600000024;0.1084563;0.14781722
9/12/2014 3:00;12;2014;9;3;95.56019694;0.022725217;-1.600000024;0.108331195;0.149251094
9/12/2014 4:00;12;2014;9;4;98.09529508;0.022821777;-1.600000024;0.108338215;0.14700634
9/12/2014 5:00;12;2014;9;5;118.491739;0.02233502;-1.600000024;0.107632345;0.146929054
9/12/2014 6:00;12;2014;9;6;137.6739497;0.023001704;-1.600000024;0.107134544;0.146874717
9/12/2014 7:00;12;2014;9;7;158.8011856;0.02273623;-1.600000024;0.10710223;0.149257387
9/12/2014 8:00;12;2014;9;8;198.3895493;0.023258507;-1.600000024;0.10724836;0.148985187
9/12/2014 9:00;12;2014;9;9;256.5305153;-0.332719054;-1.600000024;0.107330525;0.149504213
9/12/2014 10:00;12;2014;9;10;279.0802246;-0.803776844;-1.600000024;0.10723116;0.151343921
9/12/2014 11:00;12;2014;9;11;307.3170079;-3.423287219;-1.600000024;0.10724935;0.152837266
9/12/2014 12:00;12;2014;9;12;284.1014819;-12.99624639;-1.600000024;0.107102545;0.151923214
9/12/2014 13:00;12;2014;9;13;240.6966858;-33.01600413;-1.600000024;0.10781933;0.152584827
9/12/2014 14:00;12;2014;9;14;212.1698395;-22.54880987;-1.600000024;0.10713377;0.151363279
9/12/2014 15:00;12;2014;9;15;246.0689789;-8.944069711;-1.600000024;0.106891835;0.151283646
9/12/2014 16:00;12;2014;9;16;292.146536;-0.209108164;-1.600000024;0.106369035;0.150801883
9/12/2014 17:00;12;2014;9;17;232.1017316;0.0244598;-1.600000024;0.106195765;0.150323985
9/12/2014 18:00;12;2014;9;18;205.1124959;0.022948967;-1.600000024;0.105815565;0.150857636
9/12/2014 19:00;12;2014;9;19;182.864183;0.022854976;-1.600000024;0.106341025;0.150948407
9/12/2014 20:00;12;2014;9;20;157.7120618;0.022448805;-1.600000024;0.106640895;0.15143511
9/12/2014 21:00;12;2014;9;21;146.6153125;0.022235657;-1.600000024;0.106982795;0.151560601
9/12/2014 22:00;12;2014;9;22;134.694826;0.022174576;-1.600000024;0.106998505;0.151702025
9/12/2014 23:00;12;2014;9;23;116.6717078;0.021532974;-1.600000024;0.10719777;0.151891394
10/12/2014 0:00;12;2014;10;0;111.6178355;0.021289542;-1.600000024;0.107642447;0.15252237
10/12/2014 1:00;12;2014;10;1;106.4127363;0.021068097;-1.600000024;0.10737838;0.152945673
10/12/2014 2:00;12;2014;10;2;99.40742505;0.021603287;-1.600000024;0.106870205;0.152016327
10/12/2014 3:00;12;2014;10;3;105.8158333;0.021452413;-1.600000024;0.10672479;0.152355451
10/12/2014 4:00;12;2014;10;4;99.17759781;0.02126931;-1.600000024;0.107129465;0.152221671
10/12/2014 5:00;12;2014;10;5;119.8569628;0.021269743;-1.600000024;0.107103015;0.15143629
10/12/2014 6:00;12;2014;10;6;125.9748164;0.02138509;-1.600000024;0.106699436;0.15162549
10/12/2014 7:00;12;2014;10;7;170.4006307;0.020887497;-1.600000024;0.10691935;0.151601363
10/12/2014 8:00;12;2014;10;8;205.8256322;-0.924158228;-1.600000024;1.208298818;-0.305905837
10/12/2014 9:00;12;2014;10;9;151.6456161;-13.54193742;-0.533333341;-30.23441447;-35.00076487
10/12/2014 10:00;12;2014;10;10;190.0893831;-21.18720121;0;-55.15397015;-36.18997251
10/12/2014 11:00;12;2014;10;11;204.7164909;-35.32599971;0;-55.09923;-45.94298992
10/12/2014 12:00;12;2014;10;12;190.041879;-38.42650347;0;-55.01635501;-45.50766684
10/12/2014 13:00;12;2014;10;13;189.1623589;-19.58614329;0;-55.17266521;-45.56152331
10/12/2014 14:00;12;2014;10;14;187.8192187;-6.844046084;0;-54.98062515;-46.13212331
